tecnologia,central,mwh,fecha_iso,hora_consulta,timestamp_local_iso,source_url
Biomasa,Privada Térmico Bagazo,18.27,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Eólico,BOT Eólico,123.63,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Eólico,Distribuidoras,75.53,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Eólico,Privada Eólico,120.41,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Eólico,Tejona,3.39,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Angostura,0.0,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Arenal,79.29,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,BOT Hidro,0.0,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Cachí,0.0,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Cariblanco,26.9,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Dengo,88.89,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Distribuidoras,95.06,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Echandi,3.79,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,El General,40.09,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Garita,18.96,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,La Joya,0.0,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Peñas Blancas,17.69,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Pirrís,0.0,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Privada Hidro,31.1,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Reventazón,51.85,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Río Macho,67.52,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Sandillal,13.5,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Toro I,12.99,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Toro II,26.3,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Toro III,19.92,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Ventanas-Garita,0.0,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Intercambio,Intercambio Norte,0.0,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Intercambio,Intercambio Sur,110.05,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Solar,Otras Solar,0.0,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Solar,Parque Solar Miravalles,0.0,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Boca de Pozo,4.46,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Garabito,0.0,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Guápiles,0.0,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Las Pailas II,51.87,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Miravalles I,39.16,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Miravalles II,40.38,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Miravalles III,12.97,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Miravalles V,0.0,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Moín II,0.0,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Moín III,0.0,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Orotina,0.0,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,PTA Garabito,0.0,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,PTA Moín,0.0,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Pailas,30.15,2026-02-01,01:51:11,2026-02-01T01:51:11-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Biomasa,Privada Térmico Bagazo,16.95,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Eólico,BOT Eólico,123.79,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Eólico,Distribuidoras,77.39,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Eólico,Privada Eólico,113.94,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Eólico,Tejona,3.2,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Angostura,0.0,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Arenal,68.49,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,BOT Hidro,0.0,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Cachí,0.0,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Cariblanco,26.89,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Dengo,77.18,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Distribuidoras,103.52,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Echandi,3.81,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,El General,38.17,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Garita,16.45,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,La Joya,0.0,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Peñas Blancas,17.39,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Pirrís,0.0,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Privada Hidro,32.06,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Reventazón,52.02,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Río Macho,47.79,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Sandillal,13.57,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Toro I,12.98,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Toro II,23.18,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Toro III,17.96,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Ventanas-Garita,0.0,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Intercambio,Intercambio Norte,0.0,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Intercambio,Intercambio Sur,133.16,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Solar,Otras Solar,0.0,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Solar,Parque Solar Miravalles,0.0,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Boca de Pozo,4.46,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Garabito,0.0,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Guápiles,0.0,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Las Pailas II,52.07,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Miravalles I,39.17,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Miravalles II,40.4,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Miravalles III,12.97,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Miravalles V,0.0,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Moín II,0.0,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Moín III,0.0,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Orotina,0.0,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,PTA Garabito,0.0,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,PTA Moín,0.0,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Pailas,30.13,2026-02-01,03:02:59,2026-02-01T03:02:59-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Biomasa,Privada Térmico Bagazo,15.14,2026-02-01,04:57:08,2026-02-01T04:57:08-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Eólico,BOT Eólico,123.91,2026-02-01,04:57:08,2026-02-01T04:57:08-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Eólico,Distribuidoras,76.1,2026-02-01,04:57:08,2026-02-01T04:57:08-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Eólico,Privada Eólico,121.67,2026-02-01,04:57:08,2026-02-01T04:57:08-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Eólico,Tejona,2.98,2026-02-01,04:57:08,2026-02-01T04:57:08-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Angostura,0.0,2026-02-01,04:57:08,2026-02-01T04:57:08-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Arenal,36.91,2026-02-01,04:57:08,2026-02-01T04:57:08-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,BOT Hidro,0.0,2026-02-01,04:57:08,2026-02-01T04:57:08-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Cachí,0.0,2026-02-01,04:57:08,2026-02-01T04:57:08-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Cariblanco,26.97,2026-02-01,04:57:08,2026-02-01T04:57:08-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Dengo,41.96,2026-02-01,04:57:08,2026-02-01T04:57:08-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Distribuidoras,110.44,2026-02-01,04:57:08,2026-02-01T04:57:08-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Echandi,2.13,2026-02-01,04:57:08,2026-02-01T04:57:08-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,El General,34.51,2026-02-01,04:57:08,2026-02-01T04:57:08-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Garita,8.91,2026-02-01,04:57:08,2026-02-01T04:57:08-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,La Joya,0.0,2026-02-01,04:57:08,2026-02-01T04:57:08-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Peñas Blancas,13.59,2026-02-01,04:57:08,2026-02-01T04:57:08-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Pirrís,0.0,2026-02-01,04:57:08,2026-02-01T04:57:08-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Privada Hidro,38.9,2026-02-01,04:57:08,2026-02-01T04:57:08-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Reventazón,51.91,2026-02-01,04:57:08,2026-02-01T04:57:08-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Río Macho,48.49,2026-02-01,04:57:08,2026-02-01T04:57:08-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Sandillal,13.5,2026-02-01,04:57:08,2026-02-01T04:57:08-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Toro I,12.66,2026-02-01,04:57:08,2026-02-01T04:57:08-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Toro II,23.05,2026-02-01,04:57:08,2026-02-01T04:57:08-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Toro III,19.13,2026-02-01,04:57:08,2026-02-01T04:57:08-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Hídrico,Ventanas-Garita,0.0,2026-02-01,04:57:08,2026-02-01T04:57:08-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Intercambio,Intercambio Norte,0.0,2026-02-01,04:57:08,2026-02-01T04:57:08-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Intercambio,Intercambio Sur,133.79,2026-02-01,04:57:08,2026-02-01T04:57:08-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Solar,Otras Solar,0.0,2026-02-01,04:57:08,2026-02-01T04:57:08-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Solar,Parque Solar Miravalles,0.0,2026-02-01,04:57:08,2026-02-01T04:57:08-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Boca de Pozo,4.46,2026-02-01,04:57:08,2026-02-01T04:57:08-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
Térmico,Garabito,0.0,2026-02-01,04:57:08,2026-02-01T04:57:08-06:00,https://apps.grupoice.com/CenceWeb/CenceBoletinIntraDiario.jsf?init=true
